[VB]	a	i	és	ez	er	ir	ne	na	isse	ent	ait	aient
a	ac
able	ible
attendre/te	attendre	attente
breuv(er)	breuver	breuv
conquérir/te	conquérir	conquéte
if	iv	ive
ion	ation
is[VB]	is	isa	ise	isé	isée	isat	isaient	isait	isant	iser	isés	isez
